municipio_id,anio,poblacion
6007,2010,17072
6014,2010,12047
6021,2010,10654
6028,2010,552902
6077,2010,29044
6035,2010,342677
6042,2010,20337
6049,2010,65280
6056,2010,301572
6063,2010,43823
6070,2010,32761
6084,2010,20239
6091,2010,324244
6098,2010,88470
6105,2010,34190
6112,2010,41336
6119,2010,26367
6126,2010,94461
6134,2010,51892
6140,2010,14494
6147,2010,22237
6154,2010,11570
6161,2010,14692
6168,2010,8205
6210,2010,48703
6218,2010,42277
6224,2010,64185
6175,2010,24890
6182,2010,62152
6189,2010,15825
6196,2010,22933
6203,2010,38320
6231,2010,16889
6238,2010,27042
6245,2010,56729
6252,2010,213619
6260,2010,300959
6266,2010,29805
6270,2010,163722
6274,2010,426005
6277,2010,8869
6280,2010,39594
6287,2010,11130
6294,2010,14903
6301,2010,17365
6308,2010,2816
6315,2010,19747
6322,2010,10783
6329,2010,14889
6336,2010,3700
6343,2010,11202
6351,2010,11261
6357,2010,618989
6364,2010,87185
6371,2010,414196
6385,2010,18078
6392,2010,30864
6399,2010,11826
6406,2010,9585
6408,2010,181241
6410,2010,167824
6412,2010,265981
6413,2010,90305
6420,2010,69633
6427,2010,1775816
6441,2010,654324
6434,2010,459263
6448,2010,10210
6455,2010,23871
6462,2010,16799
6469,2010,41808
6476,2010,17523
6483,2010,36172
6490,2010,616279
6497,2010,106273
6505,2010,19301
6511,2010,10188
6515,2010,322375
6518,2010,21279
6525,2010,54181
6532,2010,63284
6539,2010,528494
6547,2010,21034
6553,2010,6499
6560,2010,452505
6568,2010,321109
6574,2010,17054
6581,2010,92933
6588,2010,47722
6595,2010,111708
6602,2010,30207
6609,2010,39776
6616,2010,5887
6623,2010,104590
6630,2010,3640
6638,2010,299077
6644,2010,25728
6648,2010,81141
6651,2010,15743
6655,2010,9888
6658,2010,582943
6665,2010,33042
6672,2010,15176
6679,2010,17143
6686,2010,23432
6693,2010,12513
6700,2010,20749
6707,2010,32103
6721,2010,8644
6714,2010,32653
6728,2010,23027
6735,2010,23138
6742,2010,8399
6749,2010,163240
6756,2010,292878
6760,2010,276190
6763,2010,145857
6770,2010,59036
6778,2010,59478
6784,2010,10081
6791,2010,123871
6798,2010,9178
6805,2010,376381
6812,2010,1764
6819,2010,12723
6826,2010,43021
6833,2010,57110
6840,2010,340071
6847,2010,8700
6854,2010,35842
6861,2010,269420
6868,2010,31730
6875,2010,31014
6882,2010,114269
6007,2011,17249
6014,2011,12142
6021,2011,10773
6028,2011,561349
6077,2011,29473
6035,2011,346847
6042,2011,20588
6049,2011,66029
