anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2013,06028,Almirante Brown,122,135,145,328,215,76881,74474,22611,60531,48089
2014,06028,Almirante Brown,124,135,145,329,216,77203,74667,22273,60805,48413
2015,06028,Almirante Brown,126,135,144,329,217,77749,74873,21887,61206,48874
2016,06028,Almirante Brown,129,135,145,330,219,78435,75106,22148,61248,48558
2017,06028,Almirante Brown,129,135,141,316,214,79202,75274,22358,61447,48977
2018,06028,Almirante Brown,131,135,139,319,207,79422,75956,23626,61253,49478
2019,06028,Almirante Brown,131,135,137,321,201,81772,77484,24503,61606,49970
2020,06028,Almirante Brown,132,135,137,317,201,80844,77343,24024,62010,50301
2021,06028,Almirante Brown,132,135,137,317,196,80101,77295,21938,62102,52769
2022,06028,Almirante Brown,133,137,137,326,198,79987,77794,22523,61498,52348
2023,06028,Almirante Brown,134,137,137,330,197,83030,79372,22155,60511,51716
2011,06077,Arrecifes,17,20,13,64,4,4564,4424,1493,3120,1869
2012,06077,Arrecifes,17,20,11,62,4,4576,4489,1499,3082,1889
2013,06077,Arrecifes,17,20,10,62,4,4586,4510,1514,3051,1799
2014,06077,Arrecifes,17,20,10,62,4,4743,4443,1593,3042,1821
2015,06077,Arrecifes,17,20,9,61,4,4706,4519,1582,3022,1892
2016,06077,Arrecifes,17,20,9,61,4,4741,4544,1630,2984,1910
2017,06077,Arrecifes,17,20,9,60,4,4750,4536,1594,3046,1999
2018,06077,Arrecifes,17,20,8,59,4,4804,4759,1645,3077,2202
2019,06077,Arrecifes,17,20,8,58,4,4818,4802,1650,3097,2215
2020,06077,Arrecifes,18,20,8,59,4,4892,4782,1708,3093,2238
2021,06077,Arrecifes,18,20,8,58,4,4758,4760,1648,3095,2238
2022,06077,Arrecifes,18,20,8,59,4,4756,4857,1679,3056,2132
2023,06077,Arrecifes,19,20,8,60,4,4918,4973,1605,3051,2167
2011,06035,Avellaneda,117,92,89,289,135,57617,54709,17386,37094,27355
2012,06035,Avellaneda,117,92,88,294,136,57351,56212,17302,36709,27953
2013,06035,Avellaneda,118,92,85,302,137,57537,57238,17828,36495,28555
2014,06035,Avellaneda,118,92,78,297,137,57936,57690,18368,36221,28117
2015,06035,Avellaneda,120,93,76,299,140,58174,57845,18601,36282,28606
2016,06035,Avellaneda,119,93,74,297,135,58777,58502,18405,36467,29134
2017,06035,Avellaneda,122,92,71,288,136,59179,58101,18383,36567,29045
2018,06035,Avellaneda,121,92,71,286,137,58618,57659,18576,36680,29347
2019,06035,Avellaneda,121,93,70,285,139,60232,57656,18159,37031,29528
2020,06035,Avellaneda,122,93,68,273,139,59767,56950,17412,37430,29654
2021,06035,Avellaneda,122,93,68,268,138,59063,55715,15590,37331,31153
2022,06035,Avellaneda,120,93,68,267,136,58245,55526,15461,36736,30285
2023,06035,Avellaneda,118,92,67,272,133,57085,55331,14494,36219,30485
2011,06042,Ayacucho,13,36,10,76,3,4077,5309,1015,2223,1406
2012,06042,Ayacucho,13,36,10,76,3,4548,4195,1040,2272,1473
2013,06042,Ayacucho,13,36,10,77,3,4647,4486,1069,2214,1478
2014,06042,Ayacucho,17,36,10,81,3,4704,4562,1090,2280,1427
2015,06042,Ayacucho,17,36,10,81,3,4937,5015,1080,2302,1453
2016,06042,Ayacucho,17,36,10,81,3,4521,4116,1036,2306,1472
2017,06042,Ayacucho,17,36,10,81,3,4679,4056,1003,2234,1491
2018,06042,Ayacucho,17,35,10,79,3,4746,3962,1056,2184,1539
