anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2021,06168,Castelli,7,16,3,34,3,1477,1370,470,813,764
2022,06168,Castelli,7,17,3,35,3,1496,1502,459,855,788
2023,06168,Castelli,7,17,3,35,3,1430,1414,451,860,769
2011,06210,Chacabuco,33,38,17,100,12,8907,7529,2539,5027,3420
2012,06210,Chacabuco,34,38,17,102,12,8627,7600,2549,4971,3529
2013,06210,Chacabuco,34,38,17,104,12,8906,7797,2480,4964,3595
2014,06210,Chacabuco,34,38,17,105,12,8739,7678,2530,5028,3626
2015,06210,Chacabuco,34,38,17,106,12,8998,7754,2528,5033,3667
2016,06210,Chacabuco,34,38,17,107,12,9103,7545,2473,4988,3720
2017,06210,Chacabuco,34,38,17,103,12,9030,7255,2399,4966,3792
2018,06210,Chacabuco,34,38,17,102,12,8423,7430,2429,4848,3903
2019,06210,Chacabuco,34,38,17,103,12,9157,7455,2430,4715,3910
2020,06210,Chacabuco,33,36,17,97,11,9062,7433,2344,4658,4043
2021,06210,Chacabuco,32,37,17,98,10,8247,7046,2223,4646,4088
2022,06210,Chacabuco,32,37,17,99,10,8817,7269,2219,4601,4001
2023,06210,Chacabuco,32,37,17,99,10,8832,7146,2090,4460,3931
2011,06218,Chascomús,24,50,19,119,13,7879,6749,2298,4634,3499
2012,06218,Chascomús,20,38,14,93,10,6525,6023,2068,4148,2939
2013,06218,Chascomús,20,38,14,93,10,6853,6249,2107,4283,2944
2014,06218,Chascomús,22,38,14,96,11,6722,6304,2151,4310,2954
2015,06218,Chascomús,22,38,14,96,11,6901,6393,2116,4323,3125
2016,06218,Chascomús,23,38,14,98,11,7055,6537,2181,4440,3187
2017,06218,Chascomús,23,38,14,95,12,7299,6568,2122,4492,3179
2018,06218,Chascomús,23,38,14,96,12,7339,6483,2159,4480,3297
2019,06218,Chascomús,23,38,14,96,12,7733,6820,2141,4456,3403
2020,06218,Chascomús,23,38,14,96,12,7824,6686,2101,4452,3455
2021,06218,Chascomús,23,38,14,97,11,7944,6881,2022,4359,3597
2022,06218,Chascomús,23,38,14,96,11,7762,6805,1961,4337,3625
2023,06218,Chascomús,23,38,14,95,11,7316,6977,1823,4269,3641
2011,06224,Chivilcoy,36,57,18,126,20,10949,10110,3195,6441,4751
2012,06224,Chivilcoy,37,56,18,129,19,11134,10008,3229,6476,4822
2013,06224,Chivilcoy,36,56,19,131,20,11318,9960,3258,6510,4886
2014,06224,Chivilcoy,36,55,17,128,19,11474,10236,3235,6506,5041
2015,06224,Chivilcoy,36,54,17,125,19,11707,10424,3274,6484,5239
2016,06224,Chivilcoy,36,53,19,125,19,11881,10487,3337,6471,5465
2017,06224,Chivilcoy,36,53,20,123,20,11991,10523,3354,6455,5599
2018,06224,Chivilcoy,36,54,20,124,20,11730,10408,3401,6444,5683
2019,06224,Chivilcoy,35,52,20,124,20,12502,10822,3329,6402,5744
2020,06224,Chivilcoy,35,50,20,121,20,11925,10534,3293,6361,5799
2021,06224,Chivilcoy,34,51,20,122,20,12376,10466,3150,6371,5921
2022,06224,Chivilcoy,34,50,20,121,20,11914,10443,3145,6237,5798
2023,06224,Chivilcoy,35,50,20,121,20,11892,10249,3144,6156,5743
2011,06175,Colón,16,16,8,44,12,4099,3546,1242,2629,2015
2012,06175,Colón,16,16,9,47,12,4047,3635,1234,2618,1937
2013,06175,Colón,16,16,9,49,12,4163,3718,1265,2631,1987
2014,06175,Colón,16,16,9,49,12,4184,3675,1291,2588,1989
2015,06175,Colón,15,15,9,47,11,4243,3728,1274,2590,2039
2016,06175,Colón,15,15,9,47,12,4421,3833,1247,2562,1998
2017,06175,Colón,15,15,9,46,11,4469,3745,1306,2518,2059
2018,06175,Colón,15,15,9,44,12,4361,3598,1266,2476,2112
2019,06175,Colón,15,15,9,44,12,4336,3698,1252,2428,2078
2020,06175,Colón,15,15,9,44,11,4242,3665,1224,2431,2022
2021,06175,Colón,15,15,9,42,11,4129,3536,1208,2416,2063
2022,06175,Colón,15,16,10,45,11,3884,3692,1185,2407,2077
2023,06175,Colón,16,16,10,46,13,3950,3683,1138,2335,2018
2011,06182,Coronel de Marina Leonardo Rosales,25,29,18,94,14,10583,11333,2764,6640,4430
2012,06182,Coronel de Marina Leonardo Rosales,25,28,18,94,13,10643,10948,2770,6644,4495
2013,06182,Coronel de Marina Leonardo Rosales,25,28,17,97,13,10780,11121,2839,6540,4531
2014,06182,Coronel de Marina Leonardo Rosales,24,28,16,95,12,10817,10983,2819,6509,4438
2015,06182,Coronel de Marina Leonardo Rosales,24,27,15,92,12,10863,10684,2743,6583,4464
2016,06182,Coronel de Marina Leonardo Rosales,24,27,15,92,13,11150,10829,2848,6421,4401
2017,06182,Coronel de Marina Leonardo Rosales,24,27,15,92,13,11171,10845,2904,6314,4473
2018,06182,Coronel de Marina Leonardo Rosales,24,27,15,93,13,11388,11213,2951,6210,4548
2019,06182,Coronel de Marina Leonardo Rosales,24,27,15,95,13,11180,11123,2876,6210,4658
2020,06182,Coronel de Marina Leonardo Rosales,24,27,15,89,13,10840,10626,2767,6265,4676
2021,06182,Coronel de Marina Leonardo Rosales,24,27,15,87,13,10843,10076,2508,6128,4721
2022,06182,Coronel de Marina Leonardo Rosales,24,27,15,88,13,10704,9891,2431,6003,4649
2023,06182,Coronel de Marina Leonardo Rosales,24,27,15,92,13,10323,9833,2305,5766,4618
2011,06189,Coronel Dorrego,16,25,7,60,8,2692,2303,798,1439,961
2012,06189,Coronel Dorrego,16,24,7,62,8,2718,2346,788,1410,918
2013,06189,Coronel Dorrego,15,24,7,62,8,2846,2296,819,1391,864
2014,06189,Coronel Dorrego,16,23,6,60,8,2730,2320,782,1383,857
2015,06189,Coronel Dorrego,16,23,6,59,8,2642,2417,749,1413,825
2016,06189,Coronel Dorrego,16,23,6,60,8,2851,2435,736,1427,825
2017,06189,Coronel Dorrego,16,23,6,59,8,3106,2405,786,1397,819
2018,06189,Coronel Dorrego,16,20,6,55,8,2989,2426,821,1364,828
2019,06189,Coronel Dorrego,16,20,6,54,8,2867,2334,817,1348,839
2020,06189,Coronel Dorrego,17,20,6,54,9,2764,2367,785,1378,857
2021,06189,Coronel Dorrego,17,20,6,54,9,2661,2351,749,1396,900
2022,06189,Coronel Dorrego,17,20,7,57,9,3046,2383,779,1364,940
2023,06189,Coronel Dorrego,17,20,7,58,9,3056,2522,746,1348,897
2011,06196,Coronel Pringles,20,28,8,68,5,4146,4018,1217,2151,1326
2012,06196,Coronel Pringles,20,28,8,70,5,4092,3915,1149,2140,1213
2013,06196,Coronel Pringles,20,28,8,72,5,4036,3993,1119,2127,1118
2014,06196,Coronel Pringles,20,28,8,72,5,4154,3605,1176,2178,1073
2015,06196,Coronel Pringles,20,27,8,71,5,3975,3706,1208,2114,1049
2016,06196,Coronel Pringles,21,27,8,73,5,4329,3918,1272,2116,992
2017,06196,Coronel Pringles,21,26,8,72,5,4490,3870,1288,2147,988
2018,06196,Coronel Pringles,18,24,7,66,5,4897,4228,1309,2183,1001
2019,06196,Coronel Pringles,18,24,7,62,5,4669,3862,1303,2209,1000
2020,06196,Coronel Pringles,18,24,8,61,6,4783,3941,1319,2256,1082
2021,06196,Coronel Pringles,18,24,8,61,6,4650,3686,1261,2375,1172
2022,06196,Coronel Pringles,19,24,8,63,7,4589,3912,1242,2390,1130
2023,06196,Coronel Pringles,19,24,8,64,7,4474,3644,1139,2377,1096
2011,06203,Coronel Suárez,37,41,22,111,17,6733,5761,1900,3619,2749
2012,06203,Coronel Suárez,37,41,20,112,14,6791,5806,1888,3635,2706
2013,06203,Coronel Suárez,34,39,19,105,14,6904,6056,1938,3583,2853
2014,06203,Coronel Suárez,33,39,19,104,14,6956,5972,2005,3554,2821
2015,06203,Coronel Suárez,34,37,19,103,14,6928,5994,2147,3552,2823
2016,06203,Coronel Suárez,34,37,19,106,14,7635,6641,2171,3533,2784
2017,06203,Coronel Suárez,33,34,19,101,14,6723,5852,2250,3529,2816
2018,06203,Coronel Suárez,33,35,19,100,14,6713,5879,2283,3514,2897
2019,06203,Coronel Suárez,33,35,19,100,14,7137,6105,2197,3540,2968
2020,06203,Coronel Suárez,33,34,19,98,14,7022,5988,2123,3642,2951
2021,06203,Coronel Suárez,33,34,19,99,14,6771,5824,1919,3730,2934
2022,06203,Coronel Suárez,33,34,20,99,14,7218,6028,1917,3705,2941
2023,06203,Coronel Suárez,33,34,20,99,14,6843,5759,1813,3583,2927
2011,06231,Daireaux,17,21,7,56,5,3031,2804,876,1831,1270
2012,06231,Daireaux,17,20,7,55,5,3027,2909,911,1811,1252
2013,06231,Daireaux,17,20,7,54,5,3029,2817,869,1790,1245
2014,06231,Daireaux,17,20,7,55,5,2983,2830,858,1831,1172
2015,06231,Daireaux,17,20,7,56,5,3076,2779,819,1867,1174
2016,06231,Daireaux,17,20,7,56,5,3081,2862,796,1786,1206
2017,06231,Daireaux,17,20,7,56,5,3140,2861,838,1763,1235
2018,06231,Daireaux,17,20,7,56,5,3217,2890,889,1723,1264
2019,06231,Daireaux,17,20,7,56,5,3273,2959,918,1700,1232
2020,06231,Daireaux,17,20,7,53,5,3351,2799,866,1658,1214
2021,06231,Daireaux,17,20,7,54,5,2976,2885,875,1622,1272
2022,06231,Daireaux,16,20,7,52,5,3196,2959,803,1661,1241
2023,06231,Daireaux,17,20,7,55,5,3388,2933,775,1624,1213
2011,06238,Dolores,12,22,7,53,7,5193,4918,1399,2956,2475
2012,06238,Dolores,12,22,6,52,7,5138,4890,1376,2983,2488
2013,06238,Dolores,12,22,6,54,7,5166,4809,1352,2948,2477
2014,06238,Dolores,12,22,6,54,7,5227,4953,1370,2937,2542
2015,06238,Dolores,12,23,7,56,7,5630,5040,1395,2878,2501
2016,06238,Dolores,12,23,7,56,7,5542,5065,1458,2888,2483
2017,06238,Dolores,12,23,7,54,7,5845,5321,1491,2803,2506
2018,06238,Dolores,12,22,7,55,7,7247,6483,1548,2773,2588
2019,06238,Dolores,12,22,6,54,7,6569,6319,1559,2751,2469
2020,06238,Dolores,12,22,6,52,7,5478,5298,1549,2765,2479
2021,06238,Dolores,12,22,6,52,7,5685,5622,1498,2803,2492
2022,06238,Dolores,12,22,7,52,7,5459,5337,1443,2882,2508
2023,06238,Dolores,11,22,7,53,6,5308,5203,1398,2855,2493
2011,06245,Ensenada,16,18,15,64,10,9083,8372,2829,5239,3109
2012,06245,Ensenada,16,18,13,62,10,8978,8212,2823,5262,3406
2013,06245,Ensenada,17,18,13,64,11,8787,8541,2957,5262,3431
2014,06245,Ensenada,17,18,13,65,11,9060,8636,3047,5354,3406
2015,06245,Ensenada,17,18,13,66,11,10281,9759,3054,5401,3389
2016,06245,Ensenada,17,18,13,67,11,10047,9811,3031,5490,3410
2017,06245,Ensenada,17,18,13,65,11,10389,9825,3037,5610,3451
2018,06245,Ensenada,17,18,13,64,11,10644,9943,3152,5693,3676
2019,06245,Ensenada,17,18,13,66,11,10770,10425,3081,5813,3821
2020,06245,Ensenada,17,18,13,66,11,11376,10733,3003,5950,4075
2021,06245,Ensenada,17,18,13,65,11,10947,9958,2851,6029,4301
2022,06245,Ensenada,18,18,13,65,12,11469,10243,2854,5885,4394
2023,06245,Ensenada,18,18,13,65,12,11310,10459,2697,5779,4387
2011,06252,Escobar,64,67,67,144,105,35534,35771,9152,28478,19936
2012,06252,Escobar,68,68,67,144,112,35703,36153,9543,28796,20329
2013,06252,Escobar,68,69,67,155,113,36647,36596,9538,29005,20998
2014,06252,Escobar,71,71,65,151,116,37443,37205,10138,29355,20976
2015,06252,Escobar,74,73,64,149,119,37446,37911,10089,29737,21050
2016,06252,Escobar,77,73,67,148,125,38658,38545,10117,29847,21540
2017,06252,Escobar,77,74,68,147,128,39554,39619,10490,30592,22012
2018,06252,Escobar,79,74,70,148,130,40007,40232,11119,31243,22452
2019,06252,Escobar,78,77,69,151,129,42882,41541,11236,31655,22962
2020,06252,Escobar,78,75,70,146,127,42534,41784,10987,32033,23652
2021,06252,Escobar,76,75,70,150,125,43459,41895,10318,32401,24958
2022,06252,Escobar,76,75,70,157,125,43572,42683,10648,32440,25675
2023,06252,Escobar,76,78,70,158,128,43633,43208,10668,32730,25972
2011,06260,Esteban Echeverría,69,70,75,180,102,45971,43409,12442,36635,27982
2012,06260,Esteban Echeverría,71,70,75,182,106,45253,42804,12631,36480,28310
2013,06260,Esteban Echeverría,70,70,74,184,106,45382,42758,12683,36607,28436
2014,06260,Esteban Echeverría,71,70,73,184,107,45876,42997,12726,36668,28247
2015,06260,Esteban Echeverría,71,70,67,177,107,46923,44158,13055,37208,28763
2016,06260,Esteban Echeverría,72,70,69,179,108,47022,44773,13385,37527,29121
2017,06260,Esteban Echeverría,74,70,69,176,110,48150,45361,13987,37565,29765
2018,06260,Esteban Echeverría,74,70,69,174,109,48807,45450,14140,37992,30368
2019,06260,Esteban Echeverría,74,71,69,174,107,49451,46172,14090,38096,30775
2020,06260,Esteban Echeverría,74,71,69,174,107,51095,46991,13567,38438,31486
2021,06260,Esteban Echeverría,70,71,69,172,101,51915,47398,12200,38389,32804
2022,06260,Esteban Echeverría,71,71,69,176,103,51871,48188,12503,38366,32681
2023,06260,Esteban Echeverría,72,71,69,176,106,51595,47253,12407,38032,32450
2011,06266,Exaltación de la Cruz,17,20,12,54,8,4562,4442,1414,3310,2774
2012,06266,Exaltación de la Cruz,18,20,12,55,9,4843,4636,1580,3348,2779
2013,06266,Exaltación de la Cruz,18,21,12,55,10,4995,4857,1578,3634,2793
2014,06266,Exaltación de la Cruz,19,22,11,54,12,4972,4825,1630,3660,2747
2015,06266,Exaltación de la Cruz,19,22,12,54,13,5511,5072,1744,3765,2794
2016,06266,Exaltación de la Cruz,19,23,12,56,13,5321,5132,1685,3877,2838
2017,06266,Exaltación de la Cruz,19,23,12,55,13,5404,5189,1743,3964,2960
2018,06266,Exaltación de la Cruz,19,22,12,55,13,5536,5302,1799,4076,3026
2019,06266,Exaltación de la Cruz,19,21,12,55,12,5833,5579,1909,3991,3087
2020,06266,Exaltación de la Cruz,19,21,12,54,12,5922,5535,1822,4076,3150
2021,06266,Exaltación de la Cruz,19,21,12,54,12,6154,5930,1721,4081,3273
2022,06266,Exaltación de la Cruz,19,21,12,54,12,6240,5846,1726,4078,3363
2023,06266,Exaltación de la Cruz,19,21,12,54,12,6292,5839,1632,4113,3396
2011,06270,Ezeiza,36,36,40,107,39,26401,26521,6718,21213,15902
2012,06270,Ezeiza,39,37,40,111,40,26564,26570,7295,21487,16192
2013,06270,Ezeiza,40,37,38,114,40,27002,27967,7596,21550,16555
2014,06270,Ezeiza,40,37,39,117,41,27506,28775,7525,21796,16589
2015,06270,Ezeiza,42,38,37,116,42,27675,29654,7843,22167,16669
2016,06270,Ezeiza,43,39,38,121,43,28294,29572,8071,22303,17187
2017,06270,Ezeiza,48,41,38,119,49,29514,30699,8825,22476,17423
2018,06270,Ezeiza,49,41,39,118,51,29145,30829,9286,22858,17897
2019,06270,Ezeiza,50,43,40,119,54,30344,31590,9568,23556,18720
2020,06270,Ezeiza,50,43,41,120,55,31709,33195,9141,24072,19048
2021,06270,Ezeiza,50,43,40,118,55,32031,32966,9159,24608,20315
2022,06270,Ezeiza,51,44,40,121,57,33122,33436,9427,24632,20548
2023,06270,Ezeiza,51,45,40,121,58,32357,33470,9287,24768,20651
2011,06274,Florencio Varela,90,99,101,276,120,64529,63354,15415,53072,37600
2012,06274,Florencio Varela,93,98,101,279,120,63941,64097,15938,52062,39092
2013,06274,Florencio Varela,96,98,99,292,121,64038,64206,16510,51804,38485
2014,06274,Florencio Varela,98,98,96,291,121,63949,64356,17038,52090,37773
2015,06274,Florencio Varela,98,98,96,292,119,66718,65432,17497,52320,38293
2016,06274,Florencio Varela,96,98,96,295,116,66086,66398,17442,53143,38843
2017,06274,Florencio Varela,95,98,96,283,115,66870,67506,17775,53945,39304
2018,06274,Florencio Varela,96,98,96,281,116,67735,67761,17919,54349,39653
2019,06274,Florencio Varela,95,98,96,280,112,73603,71553,17654,55168,40433
2020,06274,Florencio Varela,96,98,97,260,112,69867,68283,17254,55999,40988
2021,06274,Florencio Varela,96,98,97,260,112,73621,70401,16435,56374,43198
2022,06274,Florencio Varela,98,98,97,262,113,72177,71338,17199,56234,43600
2023,06274,Florencio Varela,97,98,97,262,109,70387,69899,16947,55536,43550
2011,06277,Florentino Ameghino,8,11,5,32,4,1801,1397,553,997,807
2012,06277,Florentino Ameghino,8,11,5,31,4,1833,1604,557,1015,804
2013,06277,Florentino Ameghino,8,10,5,30,4,1794,1658,583,1044,768
2014,06277,Florentino Ameghino,8,9,5,30,4,1763,1783,610,1053,781
2015,06277,Florentino Ameghino,8,9,5,30,4,1732,1665,597,1078,731
2016,06277,Florentino Ameghino,8,9,5,31,4,1774,1714,593,1081,739
2017,06277,Florentino Ameghino,8,9,5,31,4,1901,1793,568,1102,734
2018,06277,Florentino Ameghino,8,9,5,31,4,1894,1836,594,1101,756
2019,06277,Florentino Ameghino,8,9,5,30,4,1814,1854,540,1076,796
2020,06277,Florentino Ameghino,8,9,5,29,4,1933,1744,518,1044,778
2021,06277,Florentino Ameghino,8,9,5,29,4,1894,1762,490,1047,755
2022,06277,Florentino Ameghino,8,9,5,30,4,1894,1724,476,986,776
2023,06277,Florentino Ameghino,8,9,5,29,4,1895,1725,460,927,789
2011,06280,General Alvarado,22,22,15,78,20,7772,6855,1841,4326,2884
2012,06280,General Alvarado,22,22,14,77,20,7780,6814,1856,4283,3129
2013,06280,General Alvarado,22,22,14,80,20,7258,6489,1891,4199,3162
2014,06280,General Alvarado,22,22,14,81,20,7483,6786,1881,4216,3109
2015,06280,General Alvarado,23,22,15,82,20,7345,6756,1832,4194,3227
2016,06280,General Alvarado,23,21,15,81,20,8014,6885,1850,4103,3305
2017,06280,General Alvarado,23,21,14,75,20,8077,6928,1888,4105,3267
2018,06280,General Alvarado,22,20,14,71,20,8680,7113,1965,4166,3379
2019,06280,General Alvarado,22,20,14,71,20,9214,7485,2050,4117,3379
2020,06280,General Alvarado,22,20,14,68,20,8381,6767,2050,4179,3400
2021,06280,General Alvarado,22,20,14,72,20,8518,8015,2039,4170,3448
2022,06280,General Alvarado,22,20,14,72,20,8534,7387,1980,4222,3333
2023,06280,General Alvarado,22,21,15,75,20,8898,7532,1991,4255,3393
2011,06287,General Alvear,14,26,6,56,3,2496,2523,463,1077,850
2012,06287,General Alvear,14,26,5,55,3,1989,2537,449,1065,837
2013,06287,General Alvear,14,26,5,56,3,2064,2613,462,1065,834
2014,06287,General Alvear,14,26,5,55,3,2097,2599,489,1044,870
2015,06287,General Alvear,14,26,5,56,3,1934,2525,497,980,855
2016,06287,General Alvear,15,26,5,56,4,2078,2676,554,979,832
2017,06287,General Alvear,15,26,5,56,4,1907,2538,537,973,813
2018,06287,General Alvear,15,26,5,58,3,2118,2594,589,949,761
2019,06287,General Alvear,15,26,4,57,3,2322,2737,613,962,773
2020,06287,General Alvear,15,26,4,57,3,2114,2339,618,963,746
2021,06287,General Alvear,15,26,4,57,3,2351,2888,589,1020,709
2022,06287,General Alvear,15,26,4,57,3,2016,2529,567,988,654
2023,06287,General Alvear,15,26,4,57,3,2020,2601,548,968,672
2011,06294,General Arenales,11,14,10,45,9,3012,2632,719,1395,1178
2012,06294,General Arenales,11,13,9,43,9,2949,2781,702,1359,1212
2013,06294,General Arenales,11,13,10,44,9,3039,2716,714,1324,1207
2014,06294,General Arenales,11,13,10,44,9,2994,2711,751,1350,1147
2015,06294,General Arenales,11,12,10,42,9,3026,2609,744,1335,1143
2016,06294,General Arenales,11,12,10,42,9,3168,2762,757,1302,1197
2017,06294,General Arenales,11,12,10,41,9,2933,2628,767,1278,1204
2018,06294,General Arenales,11,12,9,41,9,3023,2657,775,1291,1271
2019,06294,General Arenales,12,11,9,41,9,2902,2692,826,1305,1260
2020,06294,General Arenales,12,11,9,39,9,3091,2618,817,1350,1255
2021,06294,General Arenales,12,11,9,39,9,2939,2571,773,1343,1280
2022,06294,General Arenales,12,11,9,39,9,3037,2567,792,1347,1228
2023,06294,General Arenales,12,11,9,40,9,2828,2440,779,1320,1225
2011,06301,General Belgrano,10,17,8,43,4,3203,3091,784,1759,1596
2012,06301,General Belgrano,10,17,7,43,4,3273,3298,810,1790,1531
2013,06301,General Belgrano,10,17,7,44,4,3156,3335,827,1819,1477
2014,06301,General Belgrano,10,17,7,44,4,3728,2740,866,1851,1451
2015,06301,General Belgrano,10,17,7,44,4,3717,3251,902,1820,1500
2016,06301,General Belgrano,11,17,7,45,4,3454,3663,972,1833,1516
2017,06301,General Belgrano,11,17,7,45,4,3807,2927,997,1857,1542
2018,06301,General Belgrano,11,16,7,46,4,4829,4088,1004,1840,1608
2019,06301,General Belgrano,11,16,7,45,4,5278,4335,1022,1836,1643
2020,06301,General Belgrano,11,16,7,44,4,4330,3954,971,1857,1660
2021,06301,General Belgrano,11,16,7,44,4,4633,4346,943,1923,1699
2022,06301,General Belgrano,11,16,7,44,4,4405,4214,941,1917,1620
2023,06301,General Belgrano,12,16,7,45,4,4512,4236,1056,1927,1625
2011,06308,General Guido,3,15,2,24,,536,578,149,301,217
2012,06308,General Guido,4,15,2,25,,608,561,152,279,211
2013,06308,General Guido,4,15,2,25,,590,547,139,288,211
2014,06308,General Guido,4,15,2,25,,512,533,142,294,209
2015,06308,General Guido,4,15,2,25,,531,540,147,276,201
2016,06308,General Guido,4,15,2,25,,519,524,148,281,200
2017,06308,General Guido,4,15,2,25,,488,475,137,279,200
2018,06308,General Guido,4,14,2,23,,504,551,133,284,210
2019,06308,General Guido,4,14,2,22,,485,557,127,290,217
2020,06308,General Guido,4,14,2,22,,455,514,147,275,229
2021,06308,General Guido,4,14,2,22,,558,505,142,276,235
2022,06308,General Guido,4,14,2,22,,414,599,139,253,234
2023,06308,General Guido,4,14,2,23,,510,604,136,256,236
2011,06315,General Juan Madariaga,17,23,10,69,3,4971,4155,1096,2502,2031
2012,06315,General Juan Madariaga,18,23,10,71,3,4939,4322,1053,2536,2048
2013,06315,General Juan Madariaga,18,23,8,71,3,4876,4315,1123,2517,2099
2014,06315,General Juan Madariaga,18,23,8,72,3,4889,4220,1124,2516,2049
2015,06315,General Juan Madariaga,18,23,8,70,3,4980,4421,1102,2548,1934
2016,06315,General Juan Madariaga,18,23,8,70,3,5274,4459,1075,2581,1905
2017,06315,General Juan Madariaga,19,23,9,66,5,5508,4433,1106,2545,1941
2018,06315,General Juan Madariaga,19,23,9,68,5,5380,4455,1133,2509,2086
2019,06315,General Juan Madariaga,19,23,9,68,5,6248,4711,1113,2512,2181
2020,06315,General Juan Madariaga,20,23,9,68,5,5718,4242,1118,2481,2173
2021,06315,General Juan Madariaga,20,23,9,68,5,5933,4468,1051,2407,2137
2022,06315,General Juan Madariaga,20,23,9,69,5,6635,4563,991,2382,2196
2023,06315,General Juan Madariaga,19,23,9,69,4,6611,4509,964,2407,2136
2011,06322,General La Madrid,12,17,8,51,,2191,1995,535,1190,917
2012,06322,General La Madrid,12,17,5,48,,2369,2053,517,1150,946
2013,06322,General La Madrid,12,17,5,48,,2291,1959,531,1105,931
2014,06322,General La Madrid,12,16,5,50,,2327,1966,552,1058,889
2015,06322,General La Madrid,12,16,5,49,,2309,1913,551,1058,899
2016,06322,General La Madrid,12,16,5,49,,2314,2043,550,1034,894
2017,06322,General La Madrid,12,16,5,48,,2450,2025,589,1004,883
2018,06322,General La Madrid,12,16,5,48,,2353,1992,613,1017,843
2019,06322,General La Madrid,12,16,5,46,,2420,1993,610,1024,843
2020,06322,General La Madrid,12,16,5,47,,2513,2156,566,1038,824
2021,06322,General La Madrid,12,16,5,47,,2150,1848,520,1072,789
2022,06322,General La Madrid,12,16,5,47,,2425,2089,522,1055,773
2023,06322,General La Madrid,13,16,5,48,,2321,2021,524,1064,781
2011,06329,General Las Heras,13,16,5,45,5,4967,3416,866,1814,1117
2012,06329,General Las Heras,14,16,5,46,5,4316,3427,831,1831,1167
2013,06329,General Las Heras,14,16,5,46,5,4119,3436,849,1837,1211
2014,06329,General Las Heras,14,16,5,45,5,4040,3248,795,1799,1246
2015,06329,General Las Heras,14,16,5,46,5,4052,3320,814,1788,1286
2016,06329,General Las Heras,14,16,5,46,5,4010,3233,849,1763,1292
2017,06329,General Las Heras,14,16,5,47,5,3958,3325,855,1700,1285
2018,06329,General Las Heras,15,16,5,47,5,4287,3495,911,1696,1338
2019,06329,General Las Heras,15,16,5,48,5,4311,3514,948,1650,1283
2020,06329,General Las Heras,15,16,5,43,5,4264,3656,964,1665,1320
2021,06329,General Las Heras,15,16,5,42,5,4477,3590,910,1698,1299
2022,06329,General Las Heras,15,16,5,43,5,4355,3549,876,1758,1285
2023,06329,General Las Heras,16,16,5,44,5,4527,3732,849,1756,1274
2011,06336,General Lavalle,6,9,4,29,,889,905,267,488,395
2012,06336,General Lavalle,6,9,3,28,,987,972,238,511,372
2013,06336,General Lavalle,6,9,3,29,,1024,956,251,544,418
2014,06336,General Lavalle,7,9,3,32,,905,1317,263,529,484
2015,06336,General Lavalle,6,9,3,30,,1003,1197,286,527,479
2016,06336,General Lavalle,7,9,3,32,,1181,1196,330,556,514
2017,06336,General Lavalle,7,9,3,30,,1161,1223,341,559,532
2018,06336,General Lavalle,7,9,3,31,,1244,1251,364,562,622
2019,06336,General Lavalle,7,9,3,30,,1484,1253,370,589,636
2020,06336,General Lavalle,7,9,3,29,,1361,1286,369,623,641
2021,06336,General Lavalle,7,9,3,31,,1541,1263,363,616,659
2022,06336,General Lavalle,7,9,3,31,,1512,1399,360,647,674
2023,06336,General Lavalle,7,9,3,34,,1851,1601,338,676,656
2011,06343,General Paz,12,25,6,52,3,1944,1814,564,1339,926
2012,06343,General Paz,13,25,6,53,3,1984,1809,583,1343,946
2013,06343,General Paz,13,25,6,54,3,2051,1833,588,1349,927
2014,06343,General Paz,13,25,6,55,3,2128,1981,591,1370,969
2015,06343,General Paz,13,25,6,55,3,2201,2024,611,1360,979
2016,06343,General Paz,14,25,6,56,3,2422,2213,653,1340,1016
2017,06343,General Paz,14,25,6,56,3,2489,2293,712,1305,1102
2018,06343,General Paz,14,24,6,55,3,2578,2359,692,1335,1140
2019,06343,General Paz,14,24,6,56,3,2644,2352,740,1367,1173
2020,06343,General Paz,14,24,6,53,3,2662,2351,698,1395,1253
2021,06343,General Paz,14,25,5,53,3,2947,2697,676,1422,1214
2022,06343,General Paz,15,25,5,54,3,2524,2221,660,1455,1243
2023,06343,General Paz,15,25,5,54,3,2490,2188,644,1446,1208
2011,06351,General Pinto,9,14,5,46,,2698,2728,653,1226,853
2012,06351,General Pinto,9,14,5,49,,3032,2771,651,1210,867
2013,06351,General Pinto,9,14,5,50,,3047,2824,645,1209,866
2014,06351,General Pinto,9,14,5,51,,2873,2734,629,1186,885
2015,06351,General Pinto,9,14,5,51,,2749,2492,663,1128,877
2016,06351,General Pinto,9,14,5,51,,2912,2599,658,1120,877
2017,06351,General Pinto,9,14,5,50,,2744,2597,616,1080,861
2018,06351,General Pinto,9,14,5,47,,2814,2526,595,1069,846
2019,06351,General Pinto,9,13,5,44,,2772,2496,595,1026,843
2020,06351,General Pinto,9,13,5,43,,2706,2470,604,1027,896
2021,06351,General Pinto,9,13,5,43,,2691,2454,628,1010,908
2022,06351,General Pinto,9,13,5,43,,2735,2347,634,1010,861
2023,06351,General Pinto,9,13,5,43,,2762,2310,657,1012,821
2011,06357,General Pueyrredón,188,170,154,459,314,99740,92250,27811,63469,47502
