anio,municipio_id,municipio_nombre,promocion_efectiva_primaria,promocion_efectiva_secundaria,repitencia_primaria,repitencia_secundaria,reinscripcion_primaria,reinscripcion_secundaria,abandono_interanual_primaria,abandono_interanual_secundaria,alumnos_promovidos_primaria,alumnos_promovidos_secundaria,alumnos_no_promovidos_primaria,alumnos_no_promovidos_secundaria,salidos_sin_pase_primaria,salidos_sin_pase_secundaria,salidos_con_pase_primaria,salidos_con_pase_secundaria,sobreedad_primaria,sobreedad_secundaria,sobreedad_avanzada_primaria,sobreedad_avanzada_secundaria
2016,06784,Suipacha,96.85,79.87,2.39,12.94,0.51,0.13,0.26,7.06,98.47,72.27,1.53,27.73,0.00,2.57,3.18,4.76,3.75,23.73,0.34,8.12
2017,06784,Suipacha,100.52,68.90,1.30,21.07,0.61,0.81,-2.43,9.22,98.79,72.48,1.21,27.52,0.00,3.18,3.13,4.52,3.82,26.24,0.70,10.84
2018,06784,Suipacha,95.64,84.10,2.61,12.07,0.00,0.39,1.74,3.43,99.38,82.09,0.62,17.91,0.00,1.07,2.36,3.28,2.79,29.15,0.17,13.05
2019,06784,Suipacha,96.60,82.61,2.42,10.58,0.09,0.00,0.89,6.81,99.55,84.65,0.45,15.35,0.00,0.00,2.83,3.98,3.22,31.65,0.36,12.33
2020,06784,Suipacha,99.37,98.49,0.63,0.27,0.09,0.00,-0.09,1.24,100.00,98.57,0.00,1.43,0.00,0.00,2.95,2.42,2.52,28.31,0.00,10.56
2021,06784,Suipacha,97.96,90.53,2.23,5.78,0.19,2.35,-0.37,1.34,99.07,96.97,0.93,3.03,0.09,0.16,1.43,0.88,1.67,27.66,0.37,9.14
2022,06784,Suipacha,99.19,85.69,1.62,7.80,0.72,0.09,-1.53,6.43,98.93,82.08,1.07,17.92,0.00,0.00,1.01,2.13,2.44,24.42,0.09,9.08
2012,06791,Tandil,98.50,84.84,1.62,9.61,0.04,1.19,-0.16,4.36,98.33,83.24,1.67,16.76,0.13,2.07,4.13,4.92,9.69,34.22,2.09,13.84
2013,06791,Tandil,98.91,83.61,1.53,8.99,0.06,1.04,-0.49,6.36,98.34,84.09,1.66,15.91,0.20,1.45,3.72,6.24,8.65,29.05,1.87,11.75
2014,06791,Tandil,97.39,84.44,2.54,9.73,0.05,0.27,0.02,5.56,98.28,84.08,1.72,15.92,0.00,0.69,3.52,5.48,7.37,29.80,1.76,10.51
2015,06791,Tandil,97.68,86.32,2.47,6.91,0.03,1.76,-0.18,5.01,97.57,82.34,2.43,17.66,0.13,1.24,4.57,4.90,6.62,25.91,1.44,9.70
2016,06791,Tandil,94.95,86.15,4.68,9.23,0.05,1.06,0.31,3.55,96.73,84.41,3.27,15.59,0.09,0.66,3.52,3.59,7.19,25.46,1.24,8.53
2017,06791,Tandil,94.91,88.47,4.80,9.13,0.16,0.65,0.13,1.75,96.17,86.36,3.83,13.64,0.11,0.52,3.20,4.08,7.57,25.89,1.59,8.64
2018,06791,Tandil,92.85,90.60,5.56,6.82,0.05,1.41,1.54,1.17,97.18,85.20,2.82,14.80,0.05,1.73,3.51,4.08,7.50,24.47,1.70,9.12
2019,06791,Tandil,93.60,91.69,5.63,6.81,0.17,0.70,0.59,0.80,97.57,88.87,2.43,11.13,0.06,0.39,3.00,3.71,8.30,24.62,1.99,8.82
2020,06791,Tandil,100.48,99.23,0.07,0.08,0.15,0.28,-0.70,0.40,100.00,98.25,0.00,1.75,0.03,0.12,3.11,3.98,7.94,25.62,1.89,8.93
2021,06791,Tandil,94.78,94.85,4.12,3.99,0.32,0.86,0.77,0.30,97.57,96.13,2.43,3.87,0.02,0.26,1.39,1.92,6.46,19.41,1.49,5.35
2022,06791,Tandil,95.60,94.37,4.16,1.96,0.40,1.10,-0.15,2.56,97.51,91.78,2.49,8.22,0.01,0.15,2.94,3.26,6.68,15.94,1.22,4.10
2012,06798,Tapalqué,98.30,93.94,0.76,4.23,0.57,0.23,0.38,1.60,99.52,94.75,0.48,5.25,0.27,0.22,5.66,3.56,8.04,22.20,2.46,7.21
2013,06798,Tapalqué,99.71,87.29,0.76,3.79,0.00,0.00,-0.48,8.92,100.00,94.14,0.00,5.86,0.18,0.57,4.71,1.35,6.58,15.94,2.48,5.13
2014,06798,Tapalqué,99.23,85.37,0.77,7.37,0.00,0.45,0.00,6.80,99.81,91.75,0.19,8.25,0.37,0.90,4.25,3.67,6.14,18.71,1.63,5.67
2015,06798,Tapalqué,96.33,84.25,1.06,7.31,0.58,0.22,2.03,8.21,99.22,89.26,0.78,10.74,0.19,0.55,4.67,5.06,4.35,17.21,1.06,5.40
2016,06798,Tapalqué,99.70,80.53,0.91,13.35,0.10,1.00,-0.71,5.12,99.29,88.10,0.71,11.90,0.00,1.08,4.82,4.65,3.64,19.58,0.51,5.90
2017,06798,Tapalqué,95.56,79.19,1.65,11.30,0.00,0.34,2.79,9.17,99.27,89.90,0.73,10.10,0.30,1.88,4.76,4.12,2.27,22.71,0.21,6.38
2018,06798,Tapalqué,97.24,100.00,1.91,7.50,0.00,0.12,0.85,-7.62,98.81,89.78,1.19,10.22,0.00,0.00,5.34,2.98,2.65,16.41,0.11,2.46
2019,06798,Tapalqué,94.69,90.92,1.41,3.85,0.00,0.11,3.90,5.13,99.78,96.22,0.22,3.78,0.00,0.32,3.93,0.84,2.82,15.50,0.22,4.26
2020,06798,Tapalqué,98.88,100.76,0.34,0.00,0.34,0.00,0.45,-0.76,100.00,100.00,0.00,0.00,0.00,0.53,4.44,3.01,3.37,12.84,0.34,5.01
2021,06798,Tapalqué,95.38,89.15,3.04,5.58,0.45,1.03,1.13,4.24,98.85,98.32,1.15,1.68,0.00,0.51,0.54,3.92,0.90,23.24,0.11,6.92
2022,06798,Tapalqué,94.18,93.55,2.64,4.70,0.88,1.20,2.31,0.55,96.13,88.79,3.87,11.21,0.11,0.11,4.28,3.44,4.73,19.45,0.44,5.03
2012,06805,Tigre,97.00,80.81,1.91,9.01,0.18,0.97,0.92,9.20,98.17,79.60,1.83,20.40,0.62,1.07,3.67,3.48,13.63,35.39,3.57,14.68
2013,06805,Tigre,98.39,82.13,1.08,8.73,0.05,1.29,0.49,7.85,98.91,79.06,1.09,20.94,0.28,0.53,3.43,3.68,11.37,34.07,2.83,13.18
2014,06805,Tigre,97.97,83.42,1.32,8.02,0.04,0.85,0.67,7.71,98.71,80.48,1.29,19.52,0.26,0.45,3.55,3.97,9.34,32.31,2.09,12.44
2015,06805,Tigre,97.39,84.31,1.89,8.42,0.04,1.23,0.68,6.04,98.04,80.01,1.96,19.99,0.26,0.40,3.63,3.21,7.54,32.46,1.62,12.10
2016,06805,Tigre,95.94,83.05,3.67,10.25,0.05,1.86,0.34,4.84,96.89,79.26,3.11,20.74,0.21,0.36,3.62,3.11,6.98,30.26,1.24,11.24
2017,06805,Tigre,95.19,82.08,3.82,10.83,0.07,2.18,0.93,4.92,97.28,80.97,2.72,19.03,0.25,0.38,2.82,2.75,7.34,29.40,1.42,10.60
2018,06805,Tigre,95.97,86.24,3.33,9.50,0.03,0.72,0.67,3.54,97.72,84.17,2.28,15.83,0.17,0.37,2.82,2.92,7.23,27.03,1.43,10.55
2019,06805,Tigre,96.74,88.18,2.81,7.70,0.03,0.55,0.42,3.57,98.27,86.10,1.73,13.90,0.18,0.25,2.96,2.63,6.54,25.83,1.36,9.71
2020,06805,Tigre,99.23,99.51,0.07,0.06,0.06,0.17,0.65,0.26,99.98,98.39,0.02,1.61,0.05,0.12,3.45,2.34,5.39,21.75,1.06,7.70
2021,06805,Tigre,97.44,90.21,2.00,6.20,0.02,0.13,0.54,3.46,98.80,91.33,1.20,8.67,0.05,0.13,1.66,1.07,3.90,20.57,0.81,6.53
2022,06805,Tigre,97.34,91.38,2.01,5.12,0.13,0.19,0.51,3.31,98.28,88.99,1.72,11.01,0.03,0.28,3.00,1.66,4.11,20.55,0.75,6.24
2012,06812,Tordillo,98.62,85.94,4.15,8.85,0.46,0.00,-3.23,5.21,94.91,88.46,5.09,11.54,0.00,3.52,2.50,1.05,9.22,37.50,3.23,15.10
2013,06812,Tordillo,102.79,82.72,0.93,5.24,0.00,0.52,-3.72,11.52,99.55,89.67,0.45,10.33,0.00,0.00,4.85,5.03,8.84,28.27,2.79,9.42
2014,06812,Tordillo,99.05,91.10,3.32,5.24,0.00,4.19,-2.37,-0.52,99.48,91.35,0.52,8.65,0.99,2.54,2.63,4.17,10.43,16.75,2.37,9.42
2015,06812,Tordillo,90.65,86.57,2.80,1.49,0.00,0.00,6.54,11.94,99.02,89.84,0.98,10.16,0.00,2.48,3.94,3.55,9.35,48.76,2.80,7.96
2016,06812,Tordillo,95.70,90.86,3.23,5.08,0.00,0.51,1.08,3.55,100.00,83.67,0.00,16.33,0.51,0.98,4.65,4.95,6.99,15.23,1.08,0.51
2017,06812,Tordillo,107.22,95.02,1.67,1.49,0.00,0.00,-8.89,3.48,99.45,97.04,0.55,2.96,0.00,0.00,6.57,2.94,4.89,15.42,1.63,0.00
2018,06812,Tordillo,100.00,90.91,1.48,11.62,0.00,0.00,-1.48,-2.53,99.50,96.32,0.50,3.68,0.00,0.00,2.14,0.49,3.45,14.65,1.48,0.00
2019,06812,Tordillo,95.02,92.38,2.26,6.67,0.00,0.00,2.71,0.95,98.14,91.67,1.86,8.33,0.00,0.00,5.19,5.56,2.26,20.00,0.45,6.19
2020,06812,Tordillo,101.33,95.57,1.33,0.49,0.00,0.00,-2.67,3.94,100.00,100.00,0.00,0.00,0.00,0.00,4.02,3.57,4.00,23.15,0.44,5.91
2021,06812,Tordillo,94.57,97.55,2.26,0.00,0.00,0.00,3.17,2.45,99.09,100.00,0.91,0.00,0.00,0.00,1.30,0.00,3.62,12.25,0.45,1.96
2022,06812,Tordillo,96.97,93.37,4.33,0.51,0.00,0.00,-1.30,6.12,95.24,99.49,4.76,0.51,0.00,0.00,3.93,0.00,2.16,9.18,0.43,0.00
2012,06819,Tornquist,97.90,83.84,3.42,8.26,0.16,1.87,-1.48,6.04,95.93,87.64,4.07,12.36,0.15,4.18,5.60,5.49,13.83,37.48,2.87,17.85
2013,06819,Tornquist,96.74,81.90,3.64,12.48,0.00,3.87,-0.38,1.76,98.54,84.64,1.46,15.36,0.44,3.17,3.55,5.98,13.44,33.22,2.96,16.34
2014,06819,Tornquist,98.49,81.53,2.19,9.54,0.00,0.69,-0.68,8.25,97.28,85.07,2.72,14.93,0.07,4.53,4.11,5.31,11.23,33.33,2.41,16.24
2015,06819,Tornquist,97.65,83.15,1.75,9.24,0.00,1.11,0.61,6.50,98.34,84.55,1.66,15.45,0.22,3.06,4.68,7.17,9.56,30.04,1.97,12.09
2016,06819,Tornquist,94.69,83.65,6.11,12.26,0.08,1.67,-0.87,2.42,94.47,83.41,5.53,16.59,0.00,1.77,2.36,7.66,8.72,27.86,1.98,12.68
2017,06819,Tornquist,95.00,84.57,4.69,11.13,0.08,1.22,0.23,3.09,95.06,87.46,4.94,12.54,0.00,2.39,4.60,5.40,9.61,28.43,1.69,12.67
2018,06819,Tornquist,91.77,82.26,6.04,12.32,0.23,3.77,1.96,1.65,97.95,79.87,2.05,20.13,0.29,3.69,5.89,3.05,9.40,30.30,1.50,13.66
2019,06819,Tornquist,93.48,81.77,5.92,12.20,0.22,0.31,0.37,5.72,97.44,87.97,2.56,12.03,0.14,3.55,5.45,5.32,8.76,29.42,1.35,11.42
2020,06819,Tornquist,100.59,96.97,0.22,0.00,0.59,0.68,-1.40,2.34,99.33,98.84,0.67,1.16,0.00,0.54,4.60,4.76,11.65,29.58,0.88,10.97
2021,06819,Tornquist,96.31,88.04,3.98,6.77,0.00,0.31,-0.28,4.88,98.01,90.15,1.99,9.85,0.14,1.24,1.89,0.15,11.01,23.05,1.07,7.24
2022,06819,Tornquist,95.46,85.18,4.89,9.80,1.26,1.30,-1.61,3.72,96.42,86.45,3.58,13.55,0.00,1.45,4.73,3.42,6.42,22.27,1.19,6.72
2012,06826,Trenque Lauquen,96.43,69.77,2.06,14.61,0.08,1.68,1.44,13.94,98.49,75.80,1.51,24.20,0.06,6.19,4.38,6.23,14.05,41.11,2.46,17.35
2013,06826,Trenque Lauquen,98.44,76.25,1.70,16.92,0.04,1.86,-0.18,4.97,99.12,76.59,0.88,23.41,0.04,3.31,4.49,4.93,12.23,34.45,2.29,15.18
2014,06826,Trenque Lauquen,99.19,72.81,0.71,11.05,0.00,1.52,0.10,14.62,99.45,75.66,0.55,24.34,0.04,3.04,3.66,5.84,9.71,35.40,1.57,17.17
2015,06826,Trenque Lauquen,97.31,81.17,1.53,12.11,0.08,2.11,1.08,4.60,98.89,80.42,1.11,19.58,0.16,2.16,3.73,6.32,6.73,35.75,0.95,17.43
2016,06826,Trenque Lauquen,97.62,79.96,2.65,14.07,0.11,4.05,-0.39,1.91,97.72,77.48,2.28,22.52,0.08,3.82,3.79,6.54,8.11,42.25,0.98,19.91
2017,06826,Trenque Lauquen,94.83,79.80,3.71,11.30,0.02,1.28,1.44,7.61,98.01,82.22,1.99,17.78,0.02,1.15,3.79,4.67,7.83,37.53,1.05,16.83
2018,06826,Trenque Lauquen,95.91,84.75,3.55,7.48,0.06,1.93,0.48,5.83,98.77,87.88,1.23,12.12,0.12,2.41,4.28,6.66,6.73,33.91,0.61,14.74
2019,06826,Trenque Lauquen,95.00,84.93,2.79,11.38,2.49,2.07,-0.28,1.62,98.83,87.09,1.17,12.91,0.00,1.40,3.10,5.05,5.94,31.83,0.24,14.25
2020,06826,Trenque Lauquen,98.96,97.52,0.35,0.04,0.04,0.06,0.65,2.37,100.00,99.22,0.00,0.78,0.04,0.30,3.09,4.22,5.52,30.65,0.78,13.64
2021,06826,Trenque Lauquen,97.33,89.12,1.97,5.70,0.32,0.34,0.39,4.84,99.48,90.25,0.52,9.75,0.02,0.25,1.74,1.10,3.12,26.19,0.24,9.40
2022,06826,Trenque Lauquen,96.41,90.01,2.09,5.34,0.13,0.72,1.37,3.94,98.87,88.37,1.13,11.63,0.04,0.95,1.51,1.86,3.12,21.23,0.53,6.52
2012,06833,Tres Arroyos,99.79,81.49,1.12,11.51,0.07,1.50,-0.98,5.50,98.96,82.04,1.04,17.96,0.05,2.04,3.94,3.89,10.34,31.18,2.23,13.07
2013,06833,Tres Arroyos,99.35,81.62,0.93,13.63,0.07,1.92,-0.35,2.83,99.68,79.07,0.32,20.93,0.15,2.87,3.24,5.96,8.04,31.59,1.35,13.76
2014,06833,Tres Arroyos,97.83,79.26,1.59,9.50,0.07,0.72,0.51,10.51,99.38,81.47,0.62,18.53,0.05,3.67,3.09,4.19,6.28,31.97,0.98,14.16
2015,06833,Tres Arroyos,98.77,84.54,0.83,10.01,0.14,0.79,0.26,4.67,99.28,82.65,0.72,17.35,0.05,2.76,4.01,4.24,4.96,27.20,0.49,10.33
